Vehicle_Reference,Vehicle_Type,Vehicle_Manoeuvre,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Survival
2,9,18,8,0,0,1,6,1,45,1794,1,11,1
1,9,9,8,0,0,1,6,2,25,1582,2,1,1
2,9,18,8,0,0,1,6,1,51,-1,-1,-1,1
1,20,4,0,0,0,1,1,1,50,4462,2,1,1
1,9,15,1,0,0,1,6,1,27,1598,2,-1,1
2,1,9,5,0,0,1,6,1,46,-1,-1,-1,1
1,3,4,2,0,0,1,1,2,27,50,1,8,0
2,9,4,2,0,0,1,1,1,33,1995,2,10,0
1,9,14,1,0,0,1,6,1,24,1398,1,1,0
1,9,4,0,0,0,1,6,1,25,1686,2,8,1
2,8,4,0,0,0,1,1,1,43,1997,2,6,1
1,1,18,1,0,0,1,6,1,29,-1,-1,-1,1
2,9,18,1,0,0,1,6,2,43,1149,1,5,1
1,9,5,8,0,0,1,3,2,41,2967,2,1,0
2,9,18,8,0,0,1,2,2,23,999,1,1,0
3,9,2,1,0,0,1,6,2,51,1199,1,16,1
4,9,2,1,0,0,1,3,1,45,1796,1,12,0
5,9,2,1,0,0,1,6,1,51,1798,1,8,1
1,9,5,8,0,0,1,6,2,55,4000,1,8,1
2,1,18,8,0,0,1,4,1,15,-1,-1,-1,0
1,9,4,0,0,0,1,6,2,37,1598,2,3,0
2,9,4,0,0,0,1,6,1,26,1197,1,1,0
1,9,18,8,0,0,1,6,1,40,2995,1,5,1
2,9,9,8,0,0,1,6,2,48,1242,1,8,1
1,9,18,8,0,0,1,2,2,47,1896,2,7,0
1,9,9,8,0,0,1,6,1,37,-1,-1,-1,1
2,9,18,8,0,0,1,6,1,41,1896,2,7,1
1,9,16,0,1,0,1,6,1,32,1396,1,11,1
1,9,18,0,0,0,1,6,3,-1,1686,2,10,1
2,9,3,0,0,0,1,6,1,33,-1,-1,-1,1
1,9,18,1,0,0,1,6,1,15,1242,1,8,1
2,9,9,1,0,0,1,6,2,31,1198,1,1,0
1,11,18,0,0,0,1,1,3,-1,-1,-1,-1,0
1,9,18,8,0,0,1,6,1,30,-1,-1,-1,0
2,1,18,8,0,0,1,6,2,33,-1,-1,-1,1
1,9,18,8,0,0,1,6,1,27,1997,2,7,1
2,9,18,8,0,0,1,6,2,33,1390,1,3,1
1,9,18,0,1,0,1,6,1,26,1396,1,12,1
2,9,18,0,0,0,1,6,2,51,1587,1,10,0
3,10,18,0,0,0,1,1,1,33,-1,-1,-1,0
1,9,18,0,0,0,1,6,1,25,-1,-1,-1,1
1,1,18,8,0,0,1,1,1,13,-1,-1,-1,0
2,9,18,8,0,0,1,6,2,51,998,1,1,1
1,9,18,0,0,0,1,2,1,34,-1,-1,-1,1
2,9,12,0,0,0,1,2,2,25,1229,1,10,1
1,9,9,8,0,0,1,2,2,40,1598,1,10,0
2,1,18,8,0,0,1,2,1,33,-1,-1,-1,1
1,9,18,8,0,0,1,2,2,65,998,1,8,1
2,9,7,6,0,0,1,2,2,27,1086,1,7,1
1,9,18,0,0,4,1,1,1,51,1997,2,2,1
2,9,3,0,0,0,1,1,1,37,998,1,1,1
3,9,3,0,0,0,1,1,1,35,1995,2,3,1
1,9,18,0,0,0,1,6,2,26,-1,-1,-1,0
1,9,18,2,0,0,1,6,1,40,1198,1,10,0
2,9,18,2,0,0,1,1,2,40,1560,2,5,0
3,9,18,2,0,0,1,2,2,50,1598,1,4,1
1,9,18,8,0,0,1,6,1,31,2148,2,6,1
2,9,8,5,0,0,1,1,2,31,1461,2,1,1
1,9,5,6,0,0,1,1,2,34,998,1,6,1
2,3,16,8,0,0,1,6,1,17,125,1,5,0
1,9,7,5,0,0,1,6,1,68,1997,1,12,0
2,11,18,8,0,0,1,1,1,68,9360,2,6,1
1,5,17,8,2,0,1,6,1,30,599,1,15,0
2,9,2,8,0,0,1,6,2,48,1796,1,8,1
1,9,7,6,1,0,1,6,1,26,1598,1,8,1
2,9,7,6,0,0,1,1,1,43,2993,2,2,1
1,9,5,8,0,0,1,6,1,31,1598,1,1,0
2,19,18,8,5,0,1,1,1,58,2143,2,1,0
1,9,18,8,0,0,1,1,1,40,1598,1,12,0
2,9,9,8,0,0,1,2,2,44,1560,2,1,0
1,9,8,6,0,0,1,6,3,-1,-1,-1,-1,0
1,9,7,6,0,0,1,1,1,55,-1,-1,-1,1
2,1,18,1,0,0,1,6,2,27,-1,-1,-1,1
1,9,9,8,0,0,1,6,1,36,2685,2,11,1
2,1,18,8,0,0,1,6,2,36,-1,-1,-1,1
1,9,18,4,0,10,1,6,1,30,698,1,8,1
2,9,18,1,0,0,1,1,1,41,1396,2,1,1
1,9,1,8,0,0,1,3,2,30,1363,2,13,0
1,9,18,8,0,0,1,6,2,28,1995,2,9,0
2,18,18,8,0,0,1,1,1,54,-1,-1,-1,0
1,9,3,8,0,0,1,1,1,53,2360,1,14,1
2,9,4,8,0,0,1,2,2,50,1242,1,3,1
1,9,18,0,0,0,1,1,3,30,-1,-1,-1,1
2,9,12,0,0,0,1,1,1,24,1598,1,3,1
1,5,14,1,0,0,1,6,1,49,399,1,25,0
2,9,9,1,0,0,1,6,1,52,1796,1,8,0
1,9,9,8,0,0,1,6,1,45,1796,1,15,1
2,3,18,8,5,0,1,6,1,26,125,1,2,0
1,9,9,8,0,0,1,6,1,45,1596,1,11,1
2,9,18,8,0,0,1,1,1,46,-1,-1,-1,1
3,9,18,8,0,0,1,6,1,23,1461,2,11,0
4,9,18,8,0,0,1,6,2,30,973,1,14,0
1,5,13,8,0,0,1,6,1,47,1585,2,6,0
2,9,9,8,0,0,1,2,2,73,998,1,25,1
1,9,18,0,0,0,1,6,2,41,1360,1,12,1
2,9,2,0,0,0,1,6,1,46,1999,1,-1,0
1,9,9,8,0,0,1,6,2,25,1390,1,8,1
2,1,4,8,0,0,1,1,1,51,-1,-1,-1,1
1,5,13,0,1,0,1,6,1,25,748,1,9,1
2,9,18,0,0,0,1,6,2,26,1399,2,3,1
1,3,18,6,5,0,1,6,1,27,125,1,-1,1
2,9,18,8,0,0,1,6,1,30,1686,2,5,1
1,3,18,0,0,0,1,6,1,36,124,1,16,0
2,5,18,0,0,0,1,6,1,33,996,1,13,0
3,9,18,0,0,0,1,6,1,49,1984,1,20,0
4,9,4,0,0,0,1,1,1,66,1598,2,2,1
1,5,13,0,0,0,1,6,1,34,599,1,15,1
2,9,6,0,0,0,1,1,1,65,1997,2,11,1
1,9,18,8,0,0,1,6,1,50,1968,2,2,1
2,9,18,8,0,0,1,6,2,24,998,1,1,0
1,1,18,0,0,0,1,6,1,27,-1,-1,-1,0
2,19,4,0,0,0,1,1,1,31,1598,2,-1,1
1,9,13,8,0,0,1,6,1,30,1968,1,10,0
2,9,9,8,0,0,1,6,1,31,996,1,5,1
3,9,18,8,0,0,1,1,1,30,1396,2,1,1
1,9,18,8,0,0,1,1,1,27,-1,-1,-1,1
2,9,5,5,0,0,1,2,2,37,1598,1,11,0
1,9,3,4,0,0,1,6,2,74,1197,1,1,1
2,90,3,4,0,0,1,1,1,30,-1,-1,-1,1
1,9,16,0,5,10,1,6,1,21,2148,2,10,1
1,9,7,6,0,0,1,6,2,92,1124,1,19,1
2,21,18,8,0,0,1,1,1,32,9200,2,8,1
1,9,4,0,0,0,1,6,2,65,1995,2,3,1
1,9,14,0,0,4,2,6,1,30,1398,1,8,0
2,9,14,0,0,0,1,6,1,28,1984,1,1,0
3,9,2,0,0,0,1,6,3,43,1896,2,6,0
1,9,18,1,0,0,1,6,1,57,1747,1,16,1
2,9,3,1,0,0,1,6,1,37,1461,2,1,1
3,9,3,1,0,0,1,6,1,68,1229,1,3,1
4,9,3,1,0,0,1,6,1,60,-1,-1,-1,1
1,9,3,2,0,0,1,6,1,20,1499,1,-1,0
2,9,18,2,0,0,1,6,2,32,1200,1,2,0
1,9,5,6,0,0,1,6,1,55,898,1,1,1
1,9,18,0,0,0,1,6,1,34,1796,1,9,0
2,9,18,0,0,0,1,6,1,26,1390,1,3,1
3,9,18,0,1,0,1,6,1,49,-1,-1,-1,1
1,9,18,1,0,0,1,6,1,22,2204,2,9,1
2,9,3,1,0,0,1,6,2,68,998,1,9,0
1,5,18,1,0,0,1,6,1,19,-1,-1,-1,0
1,1,18,8,0,0,1,6,1,24,-1,-1,-1,0
2,9,18,8,0,0,1,6,2,46,1968,2,2,0
1,9,18,2,0,0,1,6,1,32,1998,1,20,0
2,9,18,1,0,0,1,6,1,81,1753,2,12,1
1,9,9,5,0,0,1,1,2,49,1248,2,7,0
2,1,18,8,2,0,1,1,1,40,-1,-1,-1,1
1,9,16,0,0,0,1,6,1,68,1124,1,3,0
2,9,17,0,0,0,1,6,1,56,1497,1,14,1
1,9,9,8,0,0,1,6,1,75,2720,2,7,0
2,9,18,8,0,0,1,6,1,58,1598,1,2,0
1,9,9,6,0,0,1,6,1,31,1956,2,1,1
2,9,18,8,0,0,1,6,1,24,1686,2,8,0
1,5,18,1,0,0,1,6,1,49,1157,1,9,0
2,9,3,1,0,0,1,6,2,22,998,1,2,1
1,1,5,1,0,0,1,6,1,9,-1,-1,-1,1
2,9,18,1,0,0,1,6,2,18,1149,1,10,1
1,9,18,0,0,0,1,6,1,27,1242,1,9,0
1,19,9,5,0,0,1,1,1,32,-1,-1,-1,0
2,3,18,8,0,0,1,2,1,40,124,1,5,0
1,9,18,8,1,10,1,6,1,38,1600,1,16,1
2,9,9,8,0,0,1,6,2,30,1968,2,1,1
1,3,18,2,0,0,1,6,1,26,124,1,5,1
2,9,6,2,0,0,1,1,1,49,1497,8,7,1
1,9,15,1,0,0,1,6,1,47,1390,1,12,1
2,1,18,1,5,0,1,1,1,32,-1,-1,-1,1
1,9,9,8,0,0,1,6,2,75,1360,1,8,1
2,3,18,8,0,0,1,6,1,55,124,1,1,1
1,9,18,8,0,0,1,6,1,33,1329,1,2,1
1,9,18,8,0,0,1,6,3,-1,-1,-1,-1,0
2,1,9,8,0,0,1,6,1,20,-1,-1,-1,0
1,5,18,8,5,0,1,6,1,37,649,1,1,0
2,9,18,8,0,0,1,1,1,42,-1,-1,-1,1
1,9,9,8,0,0,1,6,2,20,998,1,2,1
2,3,13,8,0,0,1,6,1,17,124,1,4,1
1,19,3,1,0,0,1,1,1,23,2287,2,4,1
2,19,3,1,0,0,1,6,1,30,-1,-1,-1,0
1,9,9,6,0,0,1,6,3,-1,-1,-1,-1,0
2,9,18,8,0,0,1,6,1,28,2993,2,3,1
1,9,18,0,0,0,1,6,1,30,2987,2,9,0
2,9,3,0,0,0,1,6,1,27,1968,2,8,1
1,9,9,8,0,0,1,6,2,33,1598,1,3,1
2,3,18,8,0,0,1,1,1,27,124,1,-1,0
1,11,18,1,0,0,1,1,2,36,7300,2,6,0
2,1,18,2,0,0,1,6,1,10,-1,-1,-1,0
1,9,9,5,0,0,1,6,2,21,-1,-1,-1,1
2,2,18,8,0,0,1,6,1,47,-1,-1,-1,1
1,9,9,8,0,0,1,6,1,27,1796,1,13,0
2,9,18,8,0,0,1,6,1,30,1124,1,12,1
1,9,18,2,0,0,1,6,1,21,999,1,1,1
1,3,18,8,0,0,1,6,1,49,125,1,2,1
1,1,18,1,5,0,1,6,1,14,-1,-1,-1,1
2,9,8,8,0,0,1,6,1,32,-1,-1,-1,1
1,9,18,1,0,0,1,6,2,68,1242,1,12,1
1,9,9,8,0,0,1,6,1,35,-1,-1,-1,0
2,9,17,8,0,0,1,6,1,69,-1,-1,-1,0
1,9,18,8,0,0,1,6,2,38,-1,-1,-1,0
2,9,9,2,0,0,1,6,1,23,-1,-1,-1,1
1,8,18,1,2,0,1,6,1,47,1968,2,2,1
1,9,5,1,0,0,1,1,2,31,1390,1,12,1
2,9,3,1,0,0,1,6,2,34,-1,-1,-1,1
1,9,9,8,0,7,1,6,2,28,1896,2,13,0
2,9,18,8,0,0,1,6,1,23,-1,-1,-1,0
1,9,7,3,0,0,1,6,3,30,-1,-1,-1,1
2,1,18,8,0,0,1,2,1,41,-1,-1,-1,0
1,2,18,1,0,0,1,6,1,23,124,1,1,1
2,9,9,1,0,0,1,6,1,30,1968,2,5,1
1,9,18,0,0,0,1,6,1,41,1956,2,-1,1
1,9,4,1,0,0,1,6,2,30,2521,1,10,0
2,5,4,1,0,0,1,6,1,38,929,1,14,1
1,9,9,6,0,0,1,2,1,32,1781,1,13,1
2,9,18,8,0,0,1,2,1,53,1968,2,7,1
1,9,18,0,0,0,1,6,1,26,1497,1,10,1
1,19,18,0,0,0,1,1,1,49,2402,2,4,1
1,9,7,8,0,0,1,1,1,38,1332,1,17,1
2,1,18,8,0,0,1,1,1,26,-1,-1,-1,0
1,19,18,0,0,0,1,1,1,30,2198,2,7,0
1,9,9,8,0,0,1,6,1,54,3189,1,11,0
2,9,18,8,0,0,1,6,2,65,1198,1,4,1
3,9,8,8,0,0,1,6,1,25,2198,1,12,1
1,9,9,1,0,0,1,2,1,24,899,1,1,1
1,9,18,8,0,0,1,2,1,49,1999,1,11,1
2,9,18,8,0,0,1,2,2,28,1248,2,7,0
1,9,5,8,0,0,1,1,1,62,2397,1,13,0
2,3,18,8,0,0,1,1,1,31,125,1,1,1
1,9,9,8,0,0,1,6,2,27,1598,2,1,0
2,11,18,8,0,0,1,1,1,55,6700,2,6,1
1,1,18,8,0,0,1,6,1,33,-1,-1,-1,1
2,21,7,8,0,0,1,1,1,54,9200,2,8,1
1,9,9,8,0,0,1,6,2,72,1595,1,13,0
2,9,18,8,0,0,1,6,1,56,1388,1,10,0
1,9,18,8,0,0,1,1,2,59,1398,2,6,0
2,9,18,8,0,0,1,6,1,49,1149,1,13,0
1,8,9,8,0,0,1,1,1,40,1461,2,2,0
2,3,18,8,0,0,1,6,1,24,49,1,7,1
3,3,18,8,0,0,1,6,1,21,124,1,1,1
1,9,18,0,0,4,1,6,1,22,998,1,1,1
2,9,4,0,0,0,1,6,2,42,1242,1,1,1
3,9,4,0,0,0,1,6,1,35,1596,1,5,1
1,1,18,8,0,0,1,1,1,30,-1,-1,-1,1
2,9,16,4,0,0,1,1,2,58,1248,1,2,0
1,8,5,4,0,0,1,6,1,-1,-1,-1,-1,0
2,1,17,8,0,0,1,2,1,24,-1,-1,-1,0
1,9,18,1,0,0,1,6,1,36,1598,1,13,1
1,11,18,8,0,0,1,1,1,30,-1,-1,-1,1
1,3,18,8,5,0,1,6,1,17,125,1,10,1
2,9,7,8,0,0,1,6,1,23,1595,1,7,1
1,9,9,2,0,0,1,6,1,27,1124,1,7,0
1,9,9,8,0,0,1,6,1,21,1499,1,10,0
2,9,5,8,0,0,1,6,2,45,2494,8,-1,1
1,9,18,0,0,0,1,6,3,-1,-1,-1,-1,0
1,4,17,2,0,0,1,6,1,20,-1,-1,-1,1
2,9,16,1,0,0,1,1,2,58,1968,2,9,1
1,9,7,1,1,0,1,6,1,30,1149,1,12,0
2,9,3,1,0,0,1,1,1,42,1275,1,19,0
3,9,3,1,0,0,1,6,1,70,1329,1,4,0
1,9,18,8,0,0,1,6,2,24,2995,1,9,1
2,9,18,8,0,0,1,6,1,50,1995,2,6,1
1,9,18,0,0,0,1,6,1,87,989,1,15,0
2,9,2,0,0,0,1,6,3,-1,998,1,3,1
1,90,4,3,0,0,1,6,1,33,-1,-1,-1,1
2,10,4,3,0,0,1,1,1,46,1870,2,10,1
1,1,18,8,0,0,1,6,1,13,-1,-1,-1,1
2,9,9,8,0,0,1,1,1,43,1995,2,-1,1
1,9,6,3,0,0,1,6,1,22,1995,2,1,1
2,3,14,3,0,0,1,1,1,38,125,1,2,0
1,1,9,8,0,0,1,4,1,14,-1,-1,-1,0
2,9,18,8,1,0,1,1,1,27,1390,1,11,0
1,9,7,8,0,0,1,6,3,-1,-1,-1,-1,1
2,1,18,8,0,0,1,2,1,34,-1,-1,-1,1
1,9,9,8,0,0,1,6,2,22,1242,1,6,1
2,5,18,8,5,0,1,6,1,46,1170,1,1,1
1,9,18,0,0,0,1,6,1,29,1242,1,12,0
2,9,5,0,0,0,1,6,1,60,1560,2,8,0
1,9,18,1,0,0,1,1,2,28,1599,1,11,1
2,9,3,1,0,0,1,1,2,59,1398,2,1,0
3,9,3,1,0,0,1,1,1,30,1995,2,2,1
1,9,9,8,0,0,1,6,1,21,1560,2,10,1
2,10,18,8,0,0,1,1,1,51,2198,2,5,1
1,9,18,0,0,0,1,6,1,61,1388,1,6,0
1,9,7,8,0,0,1,6,2,30,1364,1,-1,1
2,9,18,8,0,0,1,6,1,30,1399,2,7,1
1,9,9,8,0,0,1,6,1,27,1956,2,1,1
2,9,18,8,0,0,1,6,1,28,1149,1,12,1
1,9,9,8,0,0,1,6,2,19,1896,2,10,1
2,9,18,8,0,0,1,1,1,46,1896,2,8,1
1,9,18,8,0,0,1,6,3,-1,-1,-1,-1,0
2,3,18,8,0,0,1,6,1,56,125,1,-1,0
1,19,18,8,0,0,1,6,1,30,-1,-1,-1,0
2,9,18,8,0,0,1,6,2,61,1388,1,5,1
3,9,18,8,0,0,1,6,2,23,1229,1,2,1
1,9,18,2,0,0,1,6,3,-1,-1,-1,-1,1
1,90,9,8,0,0,1,1,1,38,-1,-1,-1,1
2,90,18,8,1,0,1,2,1,44,-1,-1,-1,0
1,9,9,6,0,0,1,2,1,51,2199,1,21,0
2,1,18,8,0,0,1,6,1,50,-1,-1,-1,1
1,9,9,6,0,0,1,6,1,53,1560,2,5,0
2,9,18,8,0,0,1,6,1,75,1398,2,7,1
1,9,12,1,0,0,1,2,1,46,1995,2,-1,1
1,9,7,6,1,0,1,3,1,46,1968,2,2,1
1,9,9,6,0,0,1,6,3,38,2387,2,8,0
2,4,18,8,0,0,1,6,1,30,124,1,25,0
1,10,1,0,0,0,1,1,1,46,2402,2,10,0
1,19,18,8,0,0,1,6,1,45,2198,2,4,0
2,9,18,8,0,0,1,6,1,27,2143,2,-1,0
1,9,4,8,0,0,1,6,1,33,1119,1,13,1
2,9,3,8,0,0,1,6,3,30,-1,-1,-1,0
1,9,9,8,0,0,1,3,1,48,1461,2,12,1
2,2,3,8,0,0,1,2,1,50,50,1,1,0
1,9,18,8,0,0,1,6,2,34,1598,2,1,1
2,9,10,8,0,0,1,6,1,31,1560,2,4,0
1,9,9,5,0,0,1,6,2,33,1120,1,16,0
1,21,7,8,0,0,1,1,1,28,12777,2,7,1
2,9,17,8,0,0,1,6,1,71,1598,2,2,0
1,9,9,8,0,7,1,6,1,37,1299,1,10,0
2,9,18,8,0,0,1,6,2,35,2993,2,2,1
1,9,18,1,0,0,1,6,1,30,1753,2,14,1
2,9,4,1,0,0,1,6,1,29,1200,1,-1,1
1,9,14,2,0,4,1,2,2,24,1598,1,7,0
2,9,2,2,0,0,1,6,1,56,1598,1,10,0
1,9,9,8,0,0,1,6,2,20,1229,1,8,0
2,9,18,8,0,0,1,6,2,19,1598,2,2,1
1,9,18,1,0,0,1,1,1,74,1248,2,-1,1
1,19,18,0,0,0,1,6,1,52,-1,-1,-1,1
2,9,18,0,0,0,1,6,1,45,1685,2,2,1
3,9,18,0,0,0,1,6,2,44,1598,1,8,1
1,9,9,5,0,0,1,6,2,36,998,1,9,1
2,1,18,8,0,0,1,6,1,30,-1,-1,-1,1
1,19,18,8,0,0,1,6,1,30,1868,2,12,1
2,9,18,8,0,0,1,6,1,29,1781,1,12,1
1,9,18,8,0,0,1,1,1,40,-1,-1,-1,0
2,9,18,8,0,0,1,2,1,45,1398,1,-1,0
1,9,9,8,0,0,1,6,1,32,1560,2,10,0
2,3,18,8,5,0,1,6,1,37,124,1,2,1
1,9,9,8,0,0,1,6,2,31,1386,1,8,1
2,1,17,8,0,0,1,2,1,48,-1,-1,-1,1
1,9,18,1,0,0,1,6,1,73,1198,1,6,1
1,1,18,8,0,0,1,6,1,13,-1,-1,-1,0
2,9,18,8,0,0,1,6,1,20,1248,1,6,0
1,9,5,8,0,0,1,6,1,44,1598,2,2,1
2,9,18,8,0,0,1,6,1,45,1362,1,3,0
3,9,3,1,0,0,1,6,2,38,1998,2,7,1
1,8,7,1,0,0,1,1,1,45,1896,2,8,1
2,8,18,1,0,0,1,1,1,34,1910,2,8,0
1,9,18,8,0,0,1,6,1,26,1390,1,5,0
2,10,18,8,0,0,1,6,1,53,-1,-1,-1,0
