Vehicle_Reference,Vehicle_Type,Vehicle_Manoeuvre,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Survival
1,9,4,1,0,0,1,6,2,27,2000,2,6,1
2,9,4,1,0,0,1,6,1,48,1995,2,8,1
1,9,18,1,0,0,1,6,1,18,-1,-1,-1,0
1,9,9,6,0,0,1,6,2,64,796,1,14,1
2,9,18,8,0,0,1,6,1,52,1968,2,2,1
1,9,9,8,0,0,1,6,1,51,1995,2,2,1
1,9,18,0,0,0,1,2,1,48,2720,2,7,1
1,9,9,8,0,0,1,6,1,67,1197,1,1,1
2,9,18,8,0,0,1,6,1,21,1364,1,6,1
3,9,8,1,0,0,1,6,2,43,-1,-1,-1,0
1,9,18,1,0,0,1,6,1,28,1598,2,1,0
2,9,18,1,0,0,1,6,2,48,1598,2,3,0
1,9,9,8,0,0,1,6,2,34,1242,1,2,1
2,3,18,8,0,0,1,6,1,42,125,1,8,1
1,9,18,4,0,0,1,6,1,36,1984,1,10,1
2,1,18,8,0,0,1,6,1,64,-1,-1,-1,1
1,9,18,0,0,0,1,6,2,59,1497,1,10,0
1,9,18,1,0,0,1,1,1,45,1997,2,10,0
1,9,5,8,0,0,1,6,2,55,-1,-1,-1,1
2,9,18,8,0,0,1,6,1,25,-1,-1,-1,0
1,8,5,2,0,0,1,1,1,48,1461,2,4,1
1,9,18,2,0,0,1,6,1,27,-1,-1,-1,1
1,9,9,8,0,0,1,3,1,24,1896,2,7,1
2,9,18,8,0,0,1,6,1,42,1781,1,13,0
1,9,16,2,0,0,1,6,1,19,-1,-1,-1,1
2,9,18,1,0,0,1,1,1,59,-1,-1,-1,1
1,9,18,1,0,0,1,6,1,39,-1,-1,-1,1
2,9,18,1,0,0,1,6,1,48,1199,1,14,1
1,9,7,6,0,0,1,6,1,30,-1,-1,-1,1
2,1,18,1,0,0,1,6,1,36,-1,-1,-1,1
1,9,18,0,0,0,1,6,1,30,-1,-1,-1,0
2,9,3,0,0,0,1,6,2,47,-1,-1,-1,0
1,2,18,0,0,0,1,6,1,26,49,1,5,0
2,9,2,0,0,0,1,6,3,-1,998,1,1,1
1,9,18,8,0,0,1,6,1,28,1242,1,12,1
1,9,9,6,0,0,1,6,2,62,1242,1,10,1
2,9,18,8,0,0,1,6,1,22,1198,1,1,1
1,9,14,1,0,0,1,2,2,39,1598,1,1,0
1,8,18,1,0,0,1,1,1,43,2402,2,12,0
1,9,9,6,0,0,1,6,2,70,1197,1,3,1
2,9,18,8,0,0,1,6,1,77,1396,1,12,0
1,9,9,8,0,0,1,1,1,54,-1,-1,-1,1
2,9,17,8,0,0,1,6,1,79,1596,1,11,1
1,9,18,1,0,0,1,6,2,31,1598,1,14,1
1,9,18,2,0,0,1,6,1,30,1598,1,17,0
2,1,18,1,0,0,1,6,1,18,-1,-1,-1,0
1,9,18,8,0,0,1,1,1,32,1997,2,4,0
2,9,18,8,0,0,1,6,1,40,2495,2,19,0
1,9,18,8,0,0,1,1,1,29,-1,-1,-1,0
2,8,18,8,0,0,1,1,1,56,995,1,5,1
1,11,18,0,0,0,1,1,1,54,4461,2,2,1
1,9,18,0,0,0,1,1,2,24,1390,1,9,1
2,9,18,0,0,0,1,1,2,47,1968,2,1,1
1,9,18,8,0,0,1,6,1,18,1229,1,5,1
2,9,9,6,0,0,1,6,1,20,1229,1,9,1
1,9,7,6,0,0,1,6,1,29,-1,-1,-1,0
2,9,4,6,0,0,1,6,1,79,1329,1,5,0
1,9,18,8,0,0,1,6,1,35,1598,2,1,0
2,9,9,8,0,0,1,6,2,50,-1,-1,-1,1
3,9,18,1,0,0,1,6,1,39,1248,2,6,1
1,9,9,8,1,0,1,6,1,33,973,1,12,1
2,9,18,8,0,0,1,6,1,57,1461,2,1,1
1,8,18,1,0,0,1,1,1,44,2148,2,6,0
1,90,14,1,0,0,1,1,1,27,-1,-1,-1,0
1,1,9,8,0,0,1,6,1,22,-1,-1,-1,1
2,9,18,8,0,0,1,6,1,63,2497,1,8,0
1,9,18,8,0,0,1,6,1,27,1598,1,7,1
2,9,18,8,0,0,1,6,2,44,1598,2,2,1
1,9,18,1,0,0,1,6,1,44,-1,-1,-1,0
1,11,10,2,0,0,1,1,1,52,4250,2,8,0
2,9,4,2,0,0,1,1,2,37,1388,1,6,0
1,9,18,1,0,0,1,6,2,34,1910,2,8,1
1,9,1,1,0,0,1,6,1,18,-1,-1,-1,1
2,9,2,1,0,0,1,6,1,21,1240,1,6,0
3,9,2,1,0,0,1,6,3,-1,1498,1,15,1
4,9,2,1,0,0,1,6,3,-1,1956,2,1,1
1,9,9,8,0,0,1,6,1,28,2996,1,8,1
2,9,18,8,0,0,1,6,1,54,1560,2,7,1
1,9,18,0,0,0,1,6,2,32,1582,2,3,1
1,21,18,1,0,0,1,1,1,60,12809,2,1,1
1,90,18,1,1,0,1,1,1,30,-1,-1,-1,0
2,3,3,1,0,0,1,1,1,39,124,1,1,0
1,9,5,1,0,0,1,2,1,37,-1,-1,-1,0
2,8,18,1,0,0,1,6,1,35,1995,2,6,1
1,9,17,8,0,0,1,6,1,34,1968,2,2,1
2,1,18,8,0,0,1,6,2,47,-1,-1,-1,1
3,9,2,8,0,0,1,6,3,-1,-1,-1,-1,1
1,9,18,4,0,0,1,6,1,30,1242,1,3,0
2,9,9,8,0,0,1,6,2,39,-1,-1,-1,0
3,9,18,4,0,0,1,6,3,-1,-1,-1,-1,1
1,9,18,2,0,0,1,6,1,30,-1,-1,-1,0
1,9,18,0,0,0,1,2,1,32,1686,2,13,1
1,9,18,1,0,0,1,1,2,34,1329,1,3,1
2,5,18,1,0,0,1,1,1,30,498,1,14,1
1,9,9,8,0,0,1,6,2,73,2962,1,16,0
2,1,18,8,0,0,1,6,1,46,-1,-1,-1,1
3,3,7,1,0,0,1,6,3,30,-1,-1,-1,1
1,9,9,8,0,0,1,6,3,-1,-1,-1,-1,1
2,1,18,8,0,0,1,6,1,26,-1,-1,-1,1
1,9,18,8,0,0,1,6,3,-1,1984,1,9,1
1,9,9,6,0,0,1,6,1,29,998,1,11,1
2,9,18,8,0,0,1,6,1,25,999,1,16,0
1,90,9,8,0,0,1,4,1,24,-1,-1,-1,0
2,1,18,8,0,0,1,6,1,33,-1,-1,-1,0
1,5,18,0,1,10,1,6,1,22,600,1,12,1
1,9,18,0,0,0,1,2,2,18,998,1,16,1
1,9,9,6,0,0,1,6,1,25,1995,2,5,1
1,9,6,8,0,0,1,6,1,25,1995,2,2,1
2,9,18,8,0,0,1,6,1,36,1896,2,8,0
1,9,18,1,0,0,1,2,2,41,1997,2,12,0
1,9,9,8,0,0,1,6,1,40,2494,2,13,1
2,8,18,8,0,0,1,1,1,43,-1,-1,-1,0
1,9,18,2,0,0,1,6,3,-1,-1,-1,-1,1
2,1,18,2,0,0,1,6,1,43,-1,-1,-1,1
1,9,18,1,0,0,1,6,1,69,999,1,5,1
1,9,18,1,1,4,1,6,1,30,1753,2,13,0
2,9,3,1,0,0,1,6,1,70,998,1,2,0
1,9,4,8,0,0,1,6,2,65,1299,1,13,0
2,9,4,8,0,0,1,6,1,51,998,1,9,0
3,9,4,8,0,0,1,6,1,52,1997,2,11,0
1,9,18,8,0,0,1,6,1,69,2354,1,7,1
2,4,18,8,0,0,1,6,1,22,125,1,1,0
1,9,9,8,0,0,1,6,2,28,1968,2,6,1
2,9,18,8,0,0,1,1,2,58,1685,2,1,0
1,9,9,8,0,0,1,6,1,26,1598,1,8,1
2,9,18,8,0,0,1,1,1,39,1910,2,7,0
3,9,18,1,0,0,1,1,1,42,1997,1,2,0
1,9,18,8,0,0,1,6,3,-1,-1,-1,-1,1
2,9,18,8,0,0,1,6,2,40,1598,2,3,0
1,9,18,0,1,10,1,6,1,30,1895,1,15,0
2,9,18,0,0,0,1,1,1,28,1396,2,1,1
1,9,9,5,0,0,1,2,1,30,1988,1,13,1
2,3,18,8,0,0,1,2,1,19,125,1,-1,1
1,9,9,1,0,0,1,6,1,28,-1,-1,-1,0
1,9,18,0,0,0,1,6,2,65,1991,2,10,0
1,9,14,1,0,0,1,2,1,20,1598,1,7,0
1,9,18,0,0,0,1,6,1,46,-1,-1,-1,1
2,9,2,0,0,0,1,6,3,-1,-1,-1,-1,1
1,9,9,5,0,0,1,1,1,22,2967,1,11,1
2,5,18,8,0,0,1,2,1,55,1170,1,6,1
1,9,9,6,0,0,1,6,1,24,2497,2,10,1
2,9,18,8,0,0,1,6,2,47,1995,2,11,1
1,9,9,6,0,0,1,6,1,39,1596,1,9,1
2,3,18,8,0,0,1,6,1,18,-1,-1,-1,1
1,8,5,0,0,0,1,1,1,30,-1,-1,-1,1
1,9,18,1,0,0,1,6,2,30,1388,1,3,0
2,1,18,1,0,0,1,6,2,23,-1,-1,-1,0
1,9,9,6,0,0,1,2,2,29,2204,2,8,0
2,3,18,8,0,0,1,2,1,25,124,1,5,1
1,9,18,1,0,0,1,6,1,52,998,1,3,1
1,9,17,0,0,0,1,2,2,53,998,1,2,1
1,9,18,8,0,0,1,6,3,-1,1598,2,1,1
2,8,18,8,0,0,1,1,1,33,1598,2,3,0
3,9,2,1,0,0,1,6,3,-1,1995,2,4,0
1,9,18,8,0,0,1,1,1,29,-1,-1,-1,1
2,9,18,8,0,0,1,1,1,46,-1,-1,-1,0
1,9,18,8,0,0,1,6,1,71,1389,1,19,1
2,9,18,8,0,0,1,6,1,64,1390,1,17,1
1,9,4,1,0,0,1,6,2,26,1349,1,5,0
2,9,3,1,0,0,1,6,2,47,1591,1,2,0
3,9,3,1,0,0,1,6,1,41,3200,2,13,0
1,9,18,1,0,0,1,6,1,67,1086,1,6,1
2,21,18,1,0,0,1,1,1,42,-1,-1,-1,1
1,8,1,1,0,0,1,1,1,30,1497,8,7,0
1,9,9,5,0,0,1,2,1,18,998,1,13,1
2,3,18,8,0,0,1,6,1,24,124,1,4,1
1,9,16,0,0,0,1,6,1,52,1149,1,11,1
1,9,9,1,0,0,1,2,1,42,1999,1,12,1
2,5,18,1,0,0,1,2,1,32,599,1,11,1
1,3,4,1,0,0,1,2,1,31,124,1,2,1
2,9,4,1,0,0,1,2,2,23,-1,-1,-1,0
1,9,18,2,0,0,1,6,1,21,1197,1,2,0
1,9,18,8,0,0,1,6,1,30,1198,1,7,0
2,19,18,8,0,0,1,1,1,38,1997,2,12,1
3,19,18,8,0,0,1,1,1,43,1998,2,10,1
1,9,18,1,0,0,1,6,1,33,1598,1,11,1
2,9,3,1,0,0,1,6,1,23,1995,2,8,1
3,9,3,1,0,0,1,6,1,40,2496,1,13,0
4,9,3,1,0,0,1,6,1,31,1360,1,9,0
1,9,18,4,1,0,1,6,1,75,1242,1,17,1
1,19,18,8,0,0,1,2,1,44,1560,2,1,0
2,19,18,8,0,0,1,3,2,30,-1,-1,-1,1
1,9,9,5,0,0,1,6,1,23,1229,1,6,1
2,5,13,8,0,0,1,6,1,53,689,1,-1,1
1,9,6,1,0,0,1,6,1,37,1984,1,13,0
2,3,18,1,0,0,1,6,1,21,-1,-1,-1,1
1,1,9,1,0,0,1,1,1,21,-1,-1,-1,1
2,9,18,1,0,0,1,6,1,28,-1,-1,-1,1
1,9,9,1,0,0,1,6,2,30,1461,2,-1,1
2,1,18,1,0,0,1,6,1,50,-1,-1,-1,1
1,9,18,0,0,0,1,4,1,76,-1,-1,-1,1
1,9,9,5,0,0,1,6,1,19,973,1,14,0
2,9,18,8,0,0,1,6,1,48,1896,2,8,0
3,9,10,6,0,0,1,6,1,47,1591,1,3,0
1,1,9,8,0,0,1,6,1,17,-1,-1,-1,1
2,9,18,8,0,0,1,6,1,39,1895,1,15,1
1,3,17,1,1,0,1,6,1,22,124,1,3,1
2,9,10,1,0,0,1,6,1,20,998,1,6,1
1,9,5,0,0,0,1,6,1,34,1796,1,11,0
1,5,13,8,0,0,1,2,1,64,1470,1,12,0
2,9,9,5,0,0,1,2,1,40,2487,2,15,1
1,9,6,1,0,0,1,6,1,32,2183,2,4,0
2,5,18,1,0,0,1,6,1,62,798,1,3,1
1,9,18,2,0,0,1,1,1,33,1796,1,11,1
2,21,18,1,0,0,1,1,1,51,-1,-1,-1,1
1,9,7,8,0,0,1,6,2,33,1998,1,12,0
2,9,18,8,0,0,1,6,1,80,1388,1,12,0
1,9,18,8,0,0,1,6,1,30,1798,1,4,0
2,8,9,8,0,0,1,2,1,50,2664,2,14,0
1,9,18,8,0,0,1,6,1,24,1229,1,5,0
2,18,18,8,0,0,1,6,1,34,-1,-1,-1,1
1,19,18,8,0,0,1,6,1,64,1461,2,4,1
2,9,18,8,0,0,1,1,1,43,-1,-1,-1,1
3,9,18,8,0,0,1,6,1,24,-1,-1,-1,1
1,3,13,8,2,0,1,6,1,20,124,1,3,1
2,9,9,8,0,0,1,6,1,43,1896,2,7,1
1,9,18,8,0,0,1,6,2,38,1598,1,7,0
2,9,3,8,0,0,1,6,2,26,1598,2,-1,0
3,9,10,8,0,0,1,6,2,53,2987,2,2,0
1,9,18,1,0,0,1,6,3,-1,-1,-1,-1,1
1,9,8,6,0,0,1,2,2,47,2987,2,2,1
2,1,16,8,0,0,1,2,1,47,-1,-1,-1,1
1,9,16,8,1,0,1,2,2,34,998,1,13,1
2,9,17,8,0,0,1,1,1,36,1598,1,14,0
1,9,18,8,1,0,1,6,1,71,2149,2,8,0
2,9,10,8,0,0,1,6,1,43,2494,1,11,1
1,9,9,8,0,0,1,1,1,20,1968,2,4,0
2,9,18,8,0,0,1,1,2,40,1598,1,6,1
1,9,9,8,0,0,1,6,1,30,1796,1,14,1
2,9,18,8,0,0,1,3,1,43,1686,2,6,0
1,3,18,8,0,0,1,6,1,20,124,1,3,0
2,90,18,8,0,0,1,1,1,35,2999,2,5,0
1,9,9,8,0,0,1,6,2,43,1242,1,5,1
2,9,18,8,0,0,1,6,1,21,1339,1,11,1
1,9,9,6,0,0,1,6,1,28,998,1,13,0
2,3,18,8,0,0,1,6,1,18,-1,-1,-1,1
1,9,9,5,0,0,1,6,1,78,1498,1,7,1
1,9,9,8,0,0,1,2,1,22,1870,2,10,1
2,9,18,8,1,0,1,6,1,53,2499,2,11,1
1,9,18,2,1,0,1,6,2,37,1242,1,3,1
2,9,18,2,0,0,1,2,2,43,1590,1,16,1
3,9,18,2,0,0,1,6,2,30,-1,-1,-1,0
1,9,9,6,1,0,1,6,2,24,1999,1,7,0
2,9,9,5,1,0,1,6,1,25,1753,2,6,0
1,9,18,0,0,0,1,6,3,-1,-1,-1,-1,1
2,9,18,0,0,0,1,6,1,23,1910,2,8,1
1,9,18,8,0,0,1,6,2,35,1388,1,13,1
2,9,18,8,0,0,1,6,1,42,1560,2,7,1
3,9,3,8,0,0,1,6,1,59,1700,2,14,0
1,9,9,8,0,0,1,6,2,27,1000,1,2,0
2,9,2,2,0,0,1,6,1,51,999,1,6,1
1,19,9,8,0,0,1,6,1,59,1868,2,9,0
2,9,18,8,0,0,1,6,1,33,1560,2,2,1
1,9,7,8,0,0,1,6,2,46,1398,2,11,1
1,9,18,0,0,0,1,2,2,48,1242,1,2,1
1,1,7,6,0,0,1,6,1,22,-1,-1,-1,0
2,9,18,1,0,0,1,6,2,26,998,1,7,1
1,9,16,0,0,0,1,6,1,21,1753,2,9,1
2,9,2,0,0,0,1,6,1,34,1896,2,10,1
1,9,9,6,0,0,1,6,1,33,1984,1,-1,1
2,9,18,8,0,0,1,1,1,24,1598,1,8,1
1,3,13,8,2,0,1,6,1,17,-1,-1,-1,1
2,9,9,8,0,0,1,6,1,25,1349,1,11,0
1,8,18,0,0,0,1,1,1,44,1797,8,4,0
1,9,18,0,0,0,1,6,1,27,1398,2,8,0
2,8,18,0,0,0,1,1,1,36,1896,2,5,1
1,9,9,8,0,0,1,6,1,19,1299,1,10,1
2,9,18,8,0,0,1,6,1,60,1598,1,12,1
1,9,18,8,0,0,1,6,2,77,998,1,17,1
2,9,3,8,0,0,1,6,1,67,2926,2,12,0
1,3,18,8,0,0,1,6,1,25,124,1,12,0
2,9,5,6,0,0,1,2,2,43,1598,1,11,1
1,9,18,1,0,0,1,6,2,33,1598,1,9,0
2,9,18,1,0,0,1,6,2,42,1596,1,11,1
1,9,18,8,0,0,1,6,1,30,-1,-1,-1,1
1,3,13,8,0,0,1,2,1,22,124,1,3,1
2,9,9,5,0,0,1,3,2,31,1598,1,6,0
1,9,9,8,1,0,1,6,1,68,1587,1,6,0
2,9,18,8,1,0,1,1,2,43,1598,1,10,0
3,9,10,8,0,0,1,1,1,75,-1,-1,-1,0
1,19,9,2,0,0,1,6,1,30,-1,-1,-1,0
2,1,18,1,0,0,1,2,1,19,-1,-1,-1,1
1,9,18,0,0,0,1,1,2,27,1397,1,12,0
1,9,18,1,1,10,1,6,1,26,1797,1,16,1
2,9,10,1,0,10,1,6,1,21,1242,1,4,0
3,9,10,1,0,0,1,6,2,40,1461,2,4,1
4,9,10,1,0,0,1,6,2,49,1390,1,8,0
5,9,10,1,0,0,1,6,2,45,1598,1,5,0
1,3,15,0,0,0,1,6,1,18,125,1,8,1
2,9,18,0,0,0,1,6,1,68,1390,1,9,0
1,1,18,8,0,0,1,6,1,29,-1,-1,-1,0
2,9,9,6,0,0,1,6,2,42,1461,2,5,1
1,9,18,0,0,0,1,6,1,28,1781,1,13,1
2,8,6,0,0,0,1,1,1,67,1997,2,1,1
1,9,4,1,0,0,1,6,2,30,-1,-1,-1,0
2,9,3,1,0,0,1,6,2,36,1598,1,5,0
1,90,18,8,1,0,1,1,1,35,2999,2,4,0
2,9,9,8,0,0,1,6,1,31,1399,2,8,1
1,9,9,8,0,0,1,2,2,43,1598,1,5,1
2,9,18,8,0,0,1,2,2,38,1910,2,5,1
1,9,3,8,0,0,1,6,2,30,1229,1,5,1
2,9,9,6,0,0,1,6,2,30,998,1,1,1
1,9,9,8,0,0,1,6,1,31,1242,1,11,1
2,9,18,8,1,0,1,6,1,25,1968,2,11,1
1,90,18,1,0,0,1,6,3,-1,-1,-1,-1,1
2,9,18,1,0,0,1,6,2,44,1598,1,6,1
3,9,2,1,0,0,1,6,1,47,2231,2,7,0
1,9,7,8,0,0,1,6,1,53,1994,2,12,0
2,9,18,8,0,0,1,6,1,22,1896,2,14,0
1,9,6,8,0,0,1,6,1,30,1497,1,14,1
2,4,18,8,0,0,1,6,1,22,644,1,10,1
1,9,14,1,0,0,1,2,1,40,1560,2,3,1
1,1,18,8,0,0,1,6,1,11,-1,-1,-1,1
2,9,18,8,0,0,1,6,1,71,2435,1,16,0
1,9,18,0,0,0,1,6,2,80,1598,2,-1,0
1,9,18,0,0,0,1,6,3,-1,-1,-1,-1,1
1,9,18,8,0,0,1,6,1,19,1328,1,5,0
2,9,18,8,0,0,1,6,1,51,1398,1,8,1
1,5,14,0,0,0,1,6,1,23,899,1,16,1
2,9,10,0,0,0,1,6,1,80,1998,1,10,0
3,9,2,0,0,4,1,6,1,40,1686,2,9,0
1,9,2,8,0,0,1,6,1,23,2204,2,8,0
2,9,7,8,0,0,1,6,3,-1,1198,1,12,1
1,5,18,8,0,0,1,6,1,22,-1,-1,-1,1
2,9,9,8,0,0,1,1,1,65,1560,2,5,0
1,9,9,8,0,0,1,3,2,31,1596,1,-1,1
2,3,18,8,0,0,1,2,1,24,125,1,-1,1
1,21,18,1,0,0,1,1,1,37,12419,2,1,1
1,9,14,0,0,0,1,6,2,50,1386,1,8,1
1,9,18,2,0,0,1,6,2,31,998,1,2,1
1,9,7,8,0,0,1,1,1,53,1198,1,10,1
2,1,18,8,0,0,1,1,1,51,-1,-1,-1,0
1,9,18,0,5,10,1,6,1,45,1598,1,11,0
2,9,2,0,0,0,1,6,1,29,1198,1,1,0
1,9,18,1,0,0,1,6,3,-1,2184,2,11,1
2,2,18,1,1,0,1,6,1,21,125,1,1,1
1,9,18,8,0,0,1,6,1,46,1461,2,1,1
2,19,18,8,0,0,1,6,1,42,1896,2,7,1
1,1,9,8,0,0,1,6,1,23,-1,-1,-1,0
2,9,18,8,0,0,1,6,2,76,1396,1,1,0
1,9,9,8,0,0,1,2,1,39,-1,-1,-1,1
2,3,18,8,0,0,1,2,1,23,125,1,10,0
1,9,18,8,0,0,1,6,1,70,-1,-1,-1,1
2,9,18,8,0,0,1,6,2,46,2000,1,11,1
1,9,9,6,0,0,1,6,1,45,1900,2,10,1
1,9,18,1,0,0,1,1,1,71,1582,2,2,0
1,9,17,0,1,0,1,6,1,28,1360,1,12,1
2,9,16,0,0,0,1,6,1,32,1198,1,8,1
1,19,18,0,0,0,1,6,1,59,1560,2,-1,1
2,9,18,0,0,0,1,6,1,41,1994,1,11,1
3,19,3,0,0,0,1,1,1,51,-1,-1,-1,1
