Vehicle_Reference,Vehicle_Type,Vehicle_Manoeuvre,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Survival
1,9,18,0,0,0,1,6,1,19,1299,1,12,0
1,3,18,2,0,0,1,6,1,19,125,1,2,0
2,9,5,2,0,0,1,6,1,27,1968,2,1,0
1,9,18,8,0,0,1,6,2,34,1242,1,16,1
1,19,15,0,0,0,1,1,1,44,-1,-1,-1,1
2,1,4,0,0,0,1,1,1,58,-1,-1,-1,1
1,9,7,8,0,0,1,6,1,75,1998,1,13,1
1,9,5,6,0,0,1,6,2,30,1997,2,15,1
2,9,18,8,0,0,1,1,1,55,6208,1,1,1
1,9,9,8,0,0,1,6,2,76,1339,1,3,1
2,1,18,8,0,0,1,6,1,50,-1,-1,-1,1
1,3,13,1,0,0,1,2,1,28,125,1,4,1
2,8,18,1,0,0,1,1,1,30,-1,-1,-1,0
1,9,7,8,0,0,1,1,1,37,-1,-1,-1,0
2,1,18,8,0,0,1,6,1,28,-1,-1,-1,0
1,9,9,6,0,0,1,6,1,25,1598,1,-1,1
2,9,18,8,1,0,1,6,2,53,1349,1,15,1
1,9,3,1,0,0,1,6,2,33,1199,1,14,1
2,9,18,1,0,0,1,6,1,30,1388,1,7,1
1,3,13,8,2,0,1,2,1,17,125,1,-1,0
2,19,9,8,0,0,1,1,1,47,2198,2,1,0
1,1,18,1,0,0,1,6,2,59,-1,-1,-1,1
2,11,18,1,0,0,1,6,3,30,-1,-1,-1,0
1,9,5,8,0,0,1,6,2,17,1599,1,7,1
2,9,18,8,0,0,1,4,2,17,1242,1,3,1
1,9,12,1,0,0,1,6,1,53,1796,1,11,0
2,3,18,1,0,0,1,2,1,50,125,1,4,0
1,9,18,0,0,0,1,6,1,72,1598,2,1,0
2,9,18,0,0,0,1,6,2,22,1299,1,9,1
3,9,18,0,0,0,1,6,2,51,2987,2,2,1
1,9,18,1,1,0,1,6,2,30,-1,-1,-1,0
1,9,9,8,0,0,1,6,1,51,1896,2,10,1
2,1,18,8,0,0,1,6,2,40,-1,-1,-1,1
1,9,3,1,0,0,1,6,2,36,1997,2,3,1
2,9,18,1,0,0,1,6,1,30,2698,2,7,1
1,21,13,3,0,0,1,6,1,30,-1,-1,-1,1
2,90,16,3,0,0,1,1,1,38,-1,-1,-1,1
1,9,5,8,0,0,1,6,1,63,1970,1,14,0
2,1,16,8,0,0,1,6,1,39,-1,-1,-1,0
1,8,18,1,0,7,1,1,1,30,-1,-1,-1,0
1,9,5,0,0,0,1,6,1,18,1399,1,7,1
2,5,18,0,0,0,1,1,1,27,600,1,14,1
1,9,18,0,0,0,1,6,2,30,1796,1,8,1
1,19,9,8,0,0,1,1,1,63,-1,-1,-1,1
2,9,18,8,0,0,1,6,2,66,1242,1,2,0
1,9,18,8,0,0,1,6,1,28,1994,1,13,0
2,9,9,8,0,0,1,6,2,50,1595,1,8,1
1,11,18,0,0,0,1,1,1,47,-1,-1,-1,0
1,9,18,8,1,0,1,6,1,30,2143,2,-1,1
1,9,9,8,0,0,1,6,2,39,-1,-1,-1,1
2,1,17,8,0,0,1,6,1,27,-1,-1,-1,1
1,9,7,8,0,0,1,6,1,51,1998,2,13,0
2,1,18,8,0,0,1,6,1,37,-1,-1,-1,1
1,9,9,8,0,0,1,6,2,46,1910,2,11,1
2,1,18,8,0,0,1,6,1,60,-1,-1,-1,1
1,9,5,2,0,0,1,6,1,41,1461,2,2,1
1,9,9,5,0,0,1,6,2,45,1997,2,11,1
2,1,18,8,0,0,1,6,1,31,-1,-1,-1,1
1,9,12,1,0,0,1,6,2,46,1596,1,15,0
2,1,14,1,0,0,1,6,1,43,-1,-1,-1,0
1,9,18,8,0,0,1,6,1,67,-1,-1,-1,0
2,21,2,8,0,0,1,1,1,30,9200,2,9,1
1,9,18,0,0,0,1,6,1,88,1796,1,10,1
1,90,18,1,0,0,1,1,1,68,-1,3,-1,1
2,1,18,1,0,0,1,2,1,59,-1,-1,-1,1
1,9,18,2,0,0,1,6,1,22,4293,1,11,0
2,9,18,1,0,0,1,6,1,26,2993,2,8,0
1,9,18,8,1,0,1,2,1,32,1910,2,9,1
2,19,18,8,0,0,1,2,1,33,1560,2,1,0
3,9,18,8,0,0,1,2,1,33,1968,2,7,1
1,9,16,2,0,0,1,6,2,56,1995,2,4,1
2,9,2,2,0,0,1,6,1,56,999,1,6,1
1,9,18,1,0,0,1,6,2,24,1197,1,5,0
2,9,18,1,0,0,1,6,2,31,1124,1,10,0
1,9,18,0,0,0,1,6,1,38,2500,6,16,0
1,9,7,6,0,0,1,6,2,67,1242,1,5,0
2,1,18,8,0,0,1,6,1,32,-1,-1,-1,0
1,19,11,0,0,0,1,1,1,23,1995,2,1,1
2,5,18,0,5,10,1,6,1,43,675,1,8,1
1,9,9,8,0,0,1,6,1,48,1798,1,6,1
2,1,14,8,0,0,1,6,1,54,-1,-1,-1,1
1,9,4,2,0,0,1,6,2,60,1685,2,1,1
2,9,18,2,0,0,1,6,2,66,998,1,2,1
1,19,10,6,0,0,1,6,1,30,-1,-1,-1,0
2,1,18,8,0,0,1,6,1,53,-1,-1,-1,0
1,9,18,1,0,0,1,6,2,84,1997,2,14,0
2,19,3,1,0,0,1,6,1,49,2402,2,14,0
1,9,9,6,0,0,1,6,2,26,-1,-1,-1,0
2,4,18,1,2,0,1,6,1,25,487,1,16,1
1,9,9,6,0,0,1,2,2,55,998,1,1,1
2,3,18,8,0,0,1,2,2,17,124,1,30,0
1,9,4,0,0,0,1,6,1,21,1388,1,11,1
2,9,4,0,0,0,1,6,1,52,1600,2,5,1
1,9,9,5,0,0,1,6,2,58,1598,1,7,1
1,9,3,1,0,0,1,1,1,30,2000,2,5,1
2,9,3,1,0,0,1,6,1,78,1339,1,7,1
3,9,3,1,0,0,1,6,2,46,-1,-1,-1,1
1,9,16,8,0,0,1,1,2,65,-1,-1,-1,0
1,9,18,0,0,0,1,6,3,-1,-1,-1,-1,0
1,9,18,1,0,0,1,6,1,30,-1,-1,-1,0
1,9,9,8,0,0,1,6,1,28,999,1,-1,1
2,9,18,8,0,0,1,6,1,20,1390,1,13,1
1,9,9,8,0,0,1,6,1,32,1995,2,-1,1
2,1,18,8,0,0,1,6,1,32,-1,-1,-1,1
1,9,9,6,0,0,1,6,2,53,998,1,3,0
2,4,18,8,0,0,1,1,1,22,125,1,8,0
1,9,18,0,0,0,1,6,1,30,-1,-1,-1,1
2,9,2,0,0,0,1,6,2,65,1364,1,3,0
1,9,9,8,0,0,1,6,1,24,2143,2,1,1
2,1,18,8,0,0,1,2,1,30,-1,-1,-1,1
1,1,18,2,0,0,1,6,1,13,-1,-1,-1,1
2,9,7,2,0,0,1,6,1,56,1596,1,8,0
1,9,5,1,0,0,1,6,1,67,-1,-1,-1,1
2,1,18,1,0,0,1,6,2,27,-1,-1,-1,1
1,9,9,2,0,0,1,6,1,30,-1,-1,-1,1
1,9,16,1,0,4,1,6,2,50,1242,1,9,1
2,8,2,1,0,0,1,6,3,-1,1461,2,2,1
3,9,2,1,0,0,1,6,3,-1,1998,2,6,1
1,9,18,0,0,0,1,1,1,31,-1,-1,-1,0
1,9,18,1,0,0,1,6,3,-1,-1,-1,-1,0
2,9,18,1,0,0,1,6,1,30,-1,-1,-1,0
3,9,18,1,0,0,1,2,2,33,2198,1,7,1
1,3,11,0,0,0,1,6,1,31,-1,-1,-1,1
2,9,18,0,0,0,1,6,1,25,-1,-1,-1,1
1,5,18,8,5,0,1,2,1,46,-1,-1,-1,1
1,9,7,8,0,0,1,6,1,23,1339,1,1,0
1,9,9,8,0,0,1,6,1,63,2198,2,8,0
2,9,18,8,0,0,1,6,2,41,1596,1,8,1
1,9,18,8,0,0,1,6,1,43,1242,1,13,0
1,9,18,4,0,0,1,6,1,28,-1,-1,-1,1
2,1,18,4,0,0,1,6,1,28,-1,-1,-1,1
1,9,18,0,0,0,1,3,2,39,1339,1,8,1
1,9,18,8,0,0,1,1,1,38,1600,2,5,0
1,9,9,8,0,0,1,6,2,27,1397,1,6,0
2,1,17,8,0,0,1,6,1,35,-1,-1,-1,0
1,9,4,1,0,0,1,2,2,52,1997,2,1,0
2,9,4,1,0,0,1,2,1,23,1149,1,14,0
1,9,18,1,0,0,1,2,2,33,1598,2,5,1
1,9,7,3,0,0,1,1,2,58,-1,-1,-1,1
2,9,18,4,0,0,1,1,1,61,1560,2,2,1
1,9,9,5,0,0,1,1,1,19,-1,-1,-1,1
2,9,18,1,0,0,1,1,2,57,1248,2,7,1
1,11,18,0,0,0,1,1,1,50,4461,2,1,1
1,9,9,5,0,0,1,6,1,18,1339,1,7,0
2,1,18,8,0,0,1,2,1,34,-1,-1,-1,0
1,9,18,8,0,0,1,1,1,38,1984,1,2,0
1,9,7,3,0,0,1,1,1,34,-1,-1,-1,1
2,1,18,8,0,0,1,6,1,27,-1,-1,-1,1
1,11,17,2,1,0,1,1,1,30,-1,-1,-1,1
2,9,16,1,0,0,1,6,1,46,1242,1,13,1
1,9,18,2,0,0,1,1,1,55,1390,1,11,0
2,9,3,1,0,0,1,1,1,42,1995,2,3,0
3,9,3,1,0,0,1,3,2,40,1995,1,5,1
1,9,7,4,0,0,1,6,1,19,1984,1,7,0
2,9,18,8,0,0,1,6,1,27,1596,1,12,1
1,9,3,2,0,0,1,6,1,66,1461,2,1,1
2,9,18,1,0,0,1,6,2,27,1242,1,7,0
1,9,18,1,0,0,1,6,2,81,-1,-1,-1,0
1,9,7,2,0,0,1,6,1,19,-1,-1,-1,0
2,9,4,1,1,0,1,6,1,39,1910,2,8,1
1,9,18,8,0,0,1,6,2,55,1998,1,10,1
1,11,5,0,0,0,1,1,1,50,4461,2,2,0
1,8,1,0,0,0,1,6,1,30,-1,-1,-1,1
1,9,7,8,0,0,1,6,3,-1,-1,-1,-1,1
1,9,10,1,0,0,1,6,1,30,1329,1,5,1
1,9,5,1,0,0,1,6,1,78,1896,2,8,1
1,9,4,1,0,0,1,6,1,57,2496,1,13,1
2,5,3,1,0,0,1,6,1,48,645,1,11,1
1,9,18,2,0,0,1,6,1,30,-1,-1,-1,0
1,9,4,0,0,0,1,6,2,62,1783,1,12,0
1,9,9,2,0,0,1,6,2,70,998,1,17,0
1,9,18,0,0,0,1,6,1,79,1596,1,9,1
2,9,18,0,0,0,1,6,2,38,1686,2,2,1
3,9,18,0,0,0,1,6,2,29,1390,1,6,1
1,9,18,0,0,0,1,6,1,33,1598,1,6,1
1,1,18,8,2,0,1,1,1,30,-1,-1,-1,0
2,9,7,2,0,0,1,6,3,-1,-1,-1,-1,0
1,9,4,0,0,0,1,6,1,54,1248,2,6,1
2,9,3,0,0,0,1,6,1,62,1395,1,1,0
3,9,3,0,0,0,1,6,1,51,2179,2,3,1
1,2,18,8,0,0,1,6,1,15,49,1,3,1
2,9,2,8,0,0,1,6,3,-1,1560,2,6,1
1,9,1,0,0,0,1,6,1,82,1240,1,12,0
2,9,18,0,0,0,1,6,1,53,-1,-1,-1,1
3,3,18,0,0,0,1,6,1,18,124,1,3,1
4,9,2,0,0,0,1,6,3,-1,1198,1,13,1
1,9,18,0,0,0,1,6,3,-1,-1,-1,-1,1
2,1,18,0,0,0,1,1,1,47,-1,-1,-1,1
1,9,18,0,0,0,1,6,1,27,1995,2,7,1
1,9,18,0,1,0,1,6,1,17,-1,-1,-1,0
2,9,2,0,0,0,1,6,3,-1,1560,2,2,0
3,9,2,0,0,0,1,6,3,-1,1150,1,12,0
1,9,18,0,0,0,1,6,1,30,2496,2,11,1
2,9,18,0,0,0,1,6,2,53,1598,1,8,1
1,9,7,8,0,0,1,1,2,42,1329,1,3,1
2,1,18,8,0,0,1,2,1,56,-1,-1,-1,1
1,9,7,5,1,0,1,1,1,39,998,1,8,0
1,9,18,0,0,10,1,6,1,22,1199,1,13,0
1,9,1,1,0,0,1,6,1,29,1997,2,16,1
2,9,3,1,0,0,1,2,1,51,998,1,14,0
1,9,9,6,0,0,1,6,2,53,1995,2,8,1
2,9,18,8,0,0,1,6,1,19,1242,1,5,1
1,9,4,1,0,0,1,6,2,39,1598,1,7,1
2,9,3,1,0,0,1,6,1,88,1598,1,10,0
3,9,3,1,0,0,1,6,2,32,1461,2,10,0
1,9,18,0,0,0,1,6,2,42,1328,1,11,0
2,9,4,0,0,0,1,6,1,26,1794,1,13,0
1,9,9,8,0,0,1,1,2,28,2987,2,-1,0
2,2,18,8,0,0,1,6,1,16,49,1,12,1
1,9,5,0,0,0,1,2,2,29,1598,1,12,0
1,9,18,8,0,0,1,6,1,38,1995,2,6,1
2,5,18,8,0,0,1,6,1,48,998,1,6,0
1,9,18,0,0,0,1,6,1,75,2143,2,4,1
1,9,18,0,0,0,1,6,2,24,1395,1,1,0
2,8,18,0,0,0,1,1,1,46,2499,2,9,0
1,9,18,0,0,0,1,6,3,-1,-1,-1,-1,1
2,9,2,0,0,0,1,6,2,31,1389,1,17,0
3,1,18,0,0,0,1,6,1,40,-1,-1,-1,0
1,9,7,8,0,0,1,2,2,44,1997,2,6,1
2,1,18,8,0,0,1,2,1,40,-1,-1,-1,1
1,9,16,0,0,0,1,6,1,18,1124,1,13,1
1,9,18,8,0,0,1,1,1,46,-1,-1,-1,0
2,5,9,8,0,0,1,1,1,33,-1,-1,-1,0
1,9,9,8,0,0,1,6,1,39,1689,2,15,0
2,19,18,8,0,0,1,6,1,49,2402,2,6,1
1,9,9,2,0,0,2,6,3,-1,1229,1,8,1
1,9,18,0,0,0,1,2,1,58,2184,2,12,1
2,4,18,0,0,0,1,2,1,65,124,1,16,1
1,9,18,8,0,0,1,1,2,64,1868,2,12,1
2,9,16,8,0,0,1,1,2,47,1242,1,12,1
1,9,9,6,0,0,1,6,2,29,1390,1,10,0
2,9,18,8,0,0,1,6,1,45,2660,2,19,0
1,9,16,3,0,0,1,6,1,27,1994,1,11,0
2,9,18,1,0,0,1,6,1,30,1968,2,4,0
1,9,18,1,0,0,1,6,1,29,1781,1,14,0
1,9,9,6,0,0,1,6,1,55,1995,2,5,0
2,9,18,8,0,0,1,6,1,30,1360,1,12,0
1,9,3,1,0,0,1,6,1,39,2616,1,10,1
2,9,3,1,0,0,1,6,1,18,1229,1,2,1
3,9,3,1,0,0,1,6,1,19,1956,2,1,1
4,9,3,1,0,0,1,6,1,24,1998,1,10,1
1,9,9,8,0,0,1,6,2,34,1598,1,11,1
2,1,18,8,0,0,1,6,1,62,-1,-1,-1,1
3,9,2,1,0,0,1,6,1,27,1229,1,10,1
1,9,18,8,0,0,1,3,2,36,1329,1,4,1
2,19,3,8,0,0,1,1,1,55,-1,-1,-1,1
1,9,18,8,0,0,1,6,3,-1,-1,-1,-1,0
2,9,9,8,0,0,1,6,1,32,1995,2,13,0
1,9,5,2,0,0,1,6,1,86,1364,1,4,0
1,9,9,8,0,0,1,2,2,37,2099,1,13,0
2,9,18,8,0,0,1,2,1,42,1968,2,8,0
1,3,18,8,1,4,1,6,1,22,124,1,7,0
2,9,1,8,0,0,1,6,1,39,998,1,2,0
3,9,2,8,0,0,1,6,3,-1,1598,1,10,0
4,9,2,8,0,0,1,6,3,-1,1242,1,3,0
1,9,18,8,0,0,1,6,1,25,1686,2,11,0
2,9,18,8,0,0,1,6,1,35,2457,1,7,0
1,9,18,0,0,0,1,3,1,25,998,1,14,0
1,9,6,0,0,0,1,6,2,71,1998,1,9,0
2,3,18,0,0,0,1,6,1,64,123,1,3,0
1,2,18,1,0,0,1,6,1,21,-1,-1,-1,1
2,9,9,1,0,0,1,1,1,39,1560,2,2,1
1,9,9,6,0,0,1,6,1,24,1399,1,12,1
2,3,18,6,2,0,1,6,1,48,124,1,5,1
1,11,4,1,0,0,1,1,1,69,6700,2,7,1
1,9,1,8,0,0,1,6,1,28,1229,1,1,1
1,9,9,8,0,0,1,6,2,52,1686,2,10,1
2,19,18,8,0,0,1,6,1,64,1248,2,7,0
1,9,13,0,0,0,1,6,2,33,1596,1,7,1
1,9,9,8,0,0,1,6,2,30,1339,1,11,0
2,9,18,8,0,0,1,6,1,18,1587,1,12,1
1,9,7,1,0,0,1,6,2,28,1388,1,12,0
2,1,18,1,0,0,1,6,2,49,-1,-1,-1,1
1,9,3,1,0,0,1,2,1,43,-1,-1,-1,0
2,1,3,1,0,0,1,1,2,43,-1,-1,-1,1
1,9,18,8,0,0,1,2,2,55,1560,2,8,0
2,1,18,8,0,0,1,2,1,54,-1,-1,-1,1
1,9,18,2,0,0,1,6,1,44,1995,2,7,0
1,9,5,5,0,0,1,6,1,45,1796,1,9,1
2,1,18,8,0,0,1,6,1,43,-1,-1,-1,0
1,9,5,8,0,0,1,6,1,30,-1,-1,-1,1
1,19,18,8,0,0,1,6,1,57,1998,2,11,0
2,9,18,8,0,0,1,6,1,27,1399,2,3,1
1,9,18,8,0,0,1,1,1,24,1796,1,14,0
2,9,18,8,0,0,1,6,2,54,1685,2,-1,1
1,9,18,0,0,0,1,6,1,21,1800,1,15,1
2,9,3,0,0,0,1,6,1,44,1896,2,13,1
3,9,3,0,0,0,1,6,1,48,1796,1,16,1
1,19,4,1,0,0,1,6,1,55,2150,2,11,1
2,9,3,1,0,0,1,6,2,51,-1,-1,-1,1
3,9,3,1,0,0,1,6,2,39,1242,1,10,1
1,9,9,8,0,0,1,6,1,30,-1,-1,-1,1
1,9,18,0,0,0,1,6,3,-1,-1,-1,-1,1
1,9,9,8,0,0,1,6,2,47,1560,2,1,1
2,1,18,8,0,0,1,1,1,47,-1,-1,-1,1
1,9,13,8,1,0,1,6,1,30,1905,2,17,1
2,8,9,8,0,0,1,1,1,32,1497,8,8,1
1,9,18,0,0,0,1,6,1,81,1339,1,2,1
2,1,18,0,0,0,1,6,1,45,-1,-1,-1,1
1,5,18,1,0,0,1,6,1,44,999,1,1,1
1,9,13,2,1,10,1,6,1,25,1598,1,10,1
2,9,18,2,0,0,1,1,1,30,2993,2,1,1
3,9,18,2,0,0,1,6,2,40,1596,1,8,1
4,9,18,2,0,0,1,6,2,61,2231,2,4,1
5,19,18,2,0,0,1,1,1,48,2143,2,2,1
6,9,3,2,0,0,1,6,1,69,1388,1,4,1
1,9,9,6,0,0,1,6,1,30,-1,-1,-1,1
2,9,18,8,0,0,1,6,2,23,1968,2,9,1
1,9,18,0,0,0,1,6,2,29,1275,1,16,1
1,19,5,0,0,0,1,1,1,53,1753,2,4,1
2,2,18,0,0,0,1,1,1,50,49,1,-1,1
1,19,1,1,0,0,2,6,1,28,-1,-1,-1,1
2,3,10,1,0,0,1,6,1,27,124,1,2,1
1,9,5,6,0,0,1,6,1,30,-1,-1,-1,1
2,9,18,8,0,0,1,6,1,77,998,1,13,1
1,9,18,1,0,0,1,6,2,30,1149,1,12,1
2,9,3,1,0,0,1,6,2,63,1598,1,13,1
3,19,10,1,0,0,1,6,1,43,2402,2,7,1
1,9,18,3,0,0,1,3,1,41,1997,2,10,1
1,9,9,6,0,0,1,1,1,47,1995,2,12,1
1,9,18,4,0,0,1,6,1,66,2498,1,14,1
2,9,18,4,0,0,1,6,1,33,998,1,4,0
1,20,17,1,5,10,1,6,1,56,-1,-1,-1,0
1,9,7,8,0,0,1,6,1,30,1997,2,5,0
2,1,18,8,0,0,1,6,2,20,-1,-1,-1,0
1,4,17,1,0,10,1,6,1,23,125,1,-1,1
1,19,18,8,5,0,1,1,1,38,1598,2,-1,0
2,9,7,8,0,0,1,6,2,22,1149,1,11,1
1,9,18,8,0,0,1,6,2,40,1461,2,5,0
1,9,9,5,0,0,1,6,2,42,1598,1,10,1
2,1,18,8,0,0,1,6,1,24,-1,-1,-1,0
1,9,9,8,0,0,1,6,1,92,1329,1,5,1
2,5,18,8,0,0,1,6,1,21,-1,-1,-1,1
1,9,7,8,0,0,1,6,1,49,-1,-1,-1,1
1,9,18,0,0,4,1,6,2,67,1242,1,11,1
2,9,2,0,0,0,1,6,2,35,1582,1,8,1
1,9,18,0,0,0,1,6,2,81,1598,1,5,1
2,9,4,0,0,0,1,6,2,33,1229,1,7,1
1,9,18,2,0,0,1,6,3,-1,-1,-1,-1,0
1,9,18,8,0,0,1,2,2,31,1956,2,5,0
2,1,18,8,0,0,1,2,1,46,-1,-1,-1,0
1,9,18,4,0,0,1,6,1,40,1896,2,11,0
2,9,18,4,0,0,1,6,1,24,1910,2,9,1
1,9,4,0,0,0,1,6,2,39,1595,1,9,0
1,19,1,0,0,0,1,1,1,28,-1,-1,-1,0
1,9,9,8,0,0,1,6,1,29,998,1,10,0
2,5,18,8,0,0,1,6,1,56,-1,-1,-1,0
1,9,1,0,0,0,1,1,1,40,1910,2,9,1
2,9,2,0,0,0,1,1,1,50,1588,1,12,1
1,8,5,1,0,0,1,1,1,33,1956,2,1,1
1,9,14,1,0,0,1,6,2,-1,1560,2,1,1
1,9,18,0,0,0,1,6,1,25,1781,1,11,1
1,20,18,1,0,0,1,3,1,30,-1,-1,-1,1